,MSA,patents,exports,population,crime,Year
307,Hattiesburg-MS,9,"28,74,94,904",148839,725,2015
308,Las Cruces-NM,8,"1,59,37,47,186",214295,"17,212",2015
309,Lake Charles-LA,8,"4,28,38,79,319",205605,398,2015
310,Topeka-KS,8,"36,34,52,239",233791,"1,391",2015
311,Dover-DE,8,"5,49,78,473",173533,822,2015
313,Clarksville-TN-KY,8,"29,64,78,048",281021,"1,144",2015
314,Owensboro-KY,8,"10,69,55,028",117463,"2,175",2015
315,Harrisonburg-VA,8,"54,36,74,338",131131,"2,587",2015
316,Merced-CA,8,"97,07,89,318",268455,"30,865",2015
317,Vineland-Millville-Bridgeton-NJ,8,"28,65,16,092",155854,"5,309",2015
319,Abilene-TX,8,"9,95,32,855",169578,700,2015
320,Yakima-WA,7,"1,25,13,24,747",248830,961,2015
322,Johnstown-PA,7,"11,41,32,820",136411,562,2015
324,Rocky Mount-NC,7,"91,00,68,013",148069,337,2015
326,Wheeling-WV-OH,6,"11,76,60,789",144198,"4,319",2015
327,Wenatchee-East Wenatchee-WA,6,"50,62,70,819",116178,457,2015
329,Carson City-NV,5,"11,91,51,921",54521,172,2015
331,Anniston-Oxford-AL,5,"28,11,34,606",115620,801,2015
332,Brunswick-GA,5,"98,63,08,894",116003,409,2015
334,Ocean City-NJ,5,"2,95,50,284",94727,"1,699",2015
335,Warner Robins-GA,5,"8,76,25,698",188149,"19,799",2015
336,Lima-OH,5,"46,26,65,543",104425,"1,065",2015
338,Casper-WY,5,"4,38,82,384",82178,194,2015
339,St. Joseph-MO-KS,4,"1,02,71,03,764",126880,"13,560",2015
341,Bismarck-ND,4,"15,30,44,086",129517,294,2015
342,Salisbury-MD,4,"49,63,17,524",395300,"4,600",2015
343,Pocatello-ID,4,"19,85,01,282",83744,707,2015
344,Dothan-AL,4,"22,14,32,914",148171,515,2015
345,Fairbanks-AK,4,"88,01,918",99631,169,2015
346,Lawton-OK,4,"1,68,49,314",130644,239,2015
347,Laredo-TX,4,"7,84,27,25,571",269721,559,2015
348,Yuba City-CA,3,"33,82,17,107",170955,672,2015
351,Victoria-TX,3,"9,96,73,100",99913,917,2015
352,Aguadilla-Isabela-San Sebasti�n-PR,3,"62,25,71,256",315685,187,2015
353,Great Falls-MT,3,"7,58,01,234",82278,771,2015
355,San Angelo-TX,3,"27,94,62,633",119659,"10,395",2015
356,El Centro-CA,3,"4,15,19,58,929",180191,723,2015
358,Pascagoula-MS,2,"3,98,62,88,906",389255,681,2015
359,Cape Girardeau-Jackson-MO-IL,2,"11,73,80,098",97534,440,2015
361,"Texarkana-TX-Texarkana, AR",2,"18,97,32,006",149769,280,2015
362,Sumter-SC,2,"17,38,41,496",107480,"1,872",2015
364,Goldsboro-NC,2,"14,71,85,477",124132,250,2015
365,Gadsden-AL,1,"5,65,72,114",103057,"1,555",2015
368,Cumberland-MD-WV,0,"3,00,29,136",99979,252,2015
369,Hanford-Corcoran-CA,0,"37,39,48,174",150965,192,2015
370,Pine Bluff-AR,0,"25,13,58,550",93696,"6,210",2015
371,Hinesville-Fort Stewart-GA,0,"31,36,09,892",80198,419,2015
372,Ponce-PR,0,"56,05,57,016",317185,120,2015
373,Guayama-PR,0,"17,78,30,052",79086,228,2015
